geoid,measure,year,region_type,value,moe
51051040300,material_deprivation_indicator,2017,tract,0.167782281581055,
51051040400,material_deprivation_indicator,2017,tract,0.201090151000799,
51053840100,material_deprivation_indicator,2017,tract,0.199241278792979,
51053840200,material_deprivation_indicator,2017,tract,0.174219224484077,
51053840300,material_deprivation_indicator,2017,tract,0.186224534293277,
51053840400,material_deprivation_indicator,2017,tract,0.224945487531177,
51053840500,material_deprivation_indicator,2017,tract,0.207478761004464,
51053840600,material_deprivation_indicator,2017,tract,0.157591179642218,
51053980100,material_deprivation_indicator,2017,tract,NaN,
51057950600,material_deprivation_indicator,2017,tract,0.130020029125448,
51057950700,material_deprivation_indicator,2017,tract,0.29260472211073,
51057950800,material_deprivation_indicator,2017,tract,0.0991935837551855,
51059415100,material_deprivation_indicator,2017,tract,0.127421162497026,
51059415200,material_deprivation_indicator,2017,tract,0.198431365383506,
51059415300,material_deprivation_indicator,2017,tract,0.117673184018709,
51059415401,material_deprivation_indicator,2017,tract,0.434017557750536,
51059415402,material_deprivation_indicator,2017,tract,0.0909936677745948,
51059415500,material_deprivation_indicator,2017,tract,0.298519359006669,
51059415600,material_deprivation_indicator,2017,tract,0.0376896101456652,
51059415700,material_deprivation_indicator,2017,tract,0.0456650014628394,
51059415800,material_deprivation_indicator,2017,tract,0.0776800881267237,
51059415900,material_deprivation_indicator,2017,tract,0.0719821065091325,
51059416000,material_deprivation_indicator,2017,tract,0.182879117656631,
51059416100,material_deprivation_indicator,2017,tract,0.126358954578167,
51059416200,material_deprivation_indicator,2017,tract,0.276070597963527,
51059416300,material_deprivation_indicator,2017,tract,0.0796945930054934,
51059420100,material_deprivation_indicator,2017,tract,0.259349346578348,
51059420201,material_deprivation_indicator,2017,tract,0.162706883591894,
51059420202,material_deprivation_indicator,2017,tract,0.180693540534829,
51059420203,material_deprivation_indicator,2017,tract,0.136338133713526,
51059420300,material_deprivation_indicator,2017,tract,0.0628710854236627,
51059420400,material_deprivation_indicator,2017,tract,0.319708658740893,
51059420501,material_deprivation_indicator,2017,tract,0.16760560921063,
51059420502,material_deprivation_indicator,2017,tract,0.223888449216565,
51059420503,material_deprivation_indicator,2017,tract,0.254053537328113,
51059420600,material_deprivation_indicator,2017,tract,0.300242303609842,
51059420700,material_deprivation_indicator,2017,tract,0.118454228931458,
51059420800,material_deprivation_indicator,2017,tract,0.167943839489554,
51059421001,material_deprivation_indicator,2017,tract,0.178641539865406,
51059421002,material_deprivation_indicator,2017,tract,0.251618230638079,
51059421101,material_deprivation_indicator,2017,tract,0.151128237885968,
51059421102,material_deprivation_indicator,2017,tract,0.183646779275488,
51059421103,material_deprivation_indicator,2017,tract,0.122398933737825,
51059421200,material_deprivation_indicator,2017,tract,0.0505142504333679,
51059421300,material_deprivation_indicator,2017,tract,0.0721739188343726,
51059421400,material_deprivation_indicator,2017,tract,0.509029989121423,
51059421500,material_deprivation_indicator,2017,tract,0.41873992282425,
51059421600,material_deprivation_indicator,2017,tract,0.337567182673589,
51059421701,material_deprivation_indicator,2017,tract,0.592660568289524,
51059421702,material_deprivation_indicator,2017,tract,0.240141000599024,
51059421800,material_deprivation_indicator,2017,tract,0.340684670628743,
51059421900,material_deprivation_indicator,2017,tract,0.409758674040917,
51059422000,material_deprivation_indicator,2017,tract,0.158023611988202,
51059422101,material_deprivation_indicator,2017,tract,0.1477895189024,
51059422102,material_deprivation_indicator,2017,tract,0.236896431909478,
51059422201,material_deprivation_indicator,2017,tract,0.0887973208661403,
51059422202,material_deprivation_indicator,2017,tract,0.193415506924728,
51059422301,material_deprivation_indicator,2017,tract,0.160166890805913,
51059422302,material_deprivation_indicator,2017,tract,0.0892953622666113,
51059422401,material_deprivation_indicator,2017,tract,0.151111941477082,
51059422402,material_deprivation_indicator,2017,tract,0.130609228139442,
51059422403,material_deprivation_indicator,2017,tract,0.0633091515480966,
51059430101,material_deprivation_indicator,2017,tract,0.0952668177270744,
51059430102,material_deprivation_indicator,2017,tract,0.112969285533533,
51059430201,material_deprivation_indicator,2017,tract,0.112697731282353,
51059430202,material_deprivation_indicator,2017,tract,0.12155809390119,
51059430203,material_deprivation_indicator,2017,tract,0.111522196482821,
51059430400,material_deprivation_indicator,2017,tract,0.0917685628470519,
51059430500,material_deprivation_indicator,2017,tract,0.0427010422960094,
51059430600,material_deprivation_indicator,2017,tract,0.322461107639092,
51059430700,material_deprivation_indicator,2017,tract,0.118084622259182,
51059430801,material_deprivation_indicator,2017,tract,0.122170492071336,
51059430802,material_deprivation_indicator,2017,tract,0.109478694682021,
51059430901,material_deprivation_indicator,2017,tract,0.282799318410617,
51059430902,material_deprivation_indicator,2017,tract,0.0897413312658061,
51059431001,material_deprivation_indicator,2017,tract,0.147830984003284,
51059431002,material_deprivation_indicator,2017,tract,0.106329021921711,
51059431300,material_deprivation_indicator,2017,tract,0.0920405834173397,
51059431400,material_deprivation_indicator,2017,tract,0.0723583173374844,
51059431500,material_deprivation_indicator,2017,tract,0.0711084699326907,
51059431600,material_deprivation_indicator,2017,tract,0.344288716498999,
51059431801,material_deprivation_indicator,2017,tract,0.112751331670301,
51059431802,material_deprivation_indicator,2017,tract,0.0886887045210453,
51059431900,material_deprivation_indicator,2017,tract,0.0421469420825792,
51059432000,material_deprivation_indicator,2017,tract,0.14345155823877,
51059432100,material_deprivation_indicator,2017,tract,0.130526360634188,
51059432201,material_deprivation_indicator,2017,tract,0.193928063259809,
51059432202,material_deprivation_indicator,2017,tract,0.0876790147899633,
51059432300,material_deprivation_indicator,2017,tract,0.087454130362178,
51059432401,material_deprivation_indicator,2017,tract,0.0806353174517755,
